Origin,Destination,Value,Zone
Portmarnock,Dunboyne,D2,1
Portmarnock,M3 Parkway,D2,1
Portmarnock,Leixlip(Confey),D2,1
Portmarnock,Leixlip(Louisa Bridge),D2,1
Portmarnock,Maynooth,D2,1
Portmarnock,Kilcock,D90,2
Portmarnock,Enfield,D91,3
Portmarnock,Dublin Heuston,D2,1
Portmarnock,Park West and Cherry Orchard,D2,1
Portmarnock,Clondalkin Fonthill,D2,1
Portmarnock,Kishoge,D2,1
Portmarnock,Adamstown,D2,1
Portmarnock,Hazelhatch and Celbridge,D2,1
Portmarnock,Sallins and Naas,D90,1
Portmarnock,Newbridge,D91,3
Portmarnock,Kildare,D92,4
Clongriffin,Drogheda (MacBride),D91,3
Clongriffin,Laytown,D91,3
Clongriffin,Gormanston,D90,2
Clongriffin,Balbriggan,D90,2
Clongriffin,Skerries,D14,2
Clongriffin,Rush and Lusk,D2,1
Clongriffin,Donabate,D2,1
Clongriffin,Malahide,D2,1
Clongriffin,Portmarnock,D1,1
Clongriffin,Howth,D2,1
Clongriffin,Sutton,D2,1
Clongriffin,Bayside,D1,1
Clongriffin,Howth Junction and Donaghmede,D1,1
Clongriffin,Kilbarrack,D1,1
Clongriffin,Raheny,D1,1
Clongriffin,Harmonstown,D2,1
Clongriffin,Killester,D2,1
Clongriffin,Clontarf Road,D2,1
Clongriffin,Dublin Connolly,D2,1
Clongriffin,Tara Street,D2,1
Clongriffin,Dublin Pearse,D2,1
Clongriffin,Grand Canal Dock,D2,1
Clongriffin,Lansdowne Road,D2,1
Clongriffin,Sandymount,D2,1
Clongriffin,Sydney Parade,D2,1
Clongriffin,Booterstown,D2,1
Clongriffin,Blackrock,D2,1
Clongriffin,Seapoint,D2,1
Clongriffin,Salthill and Monkstown,D2,2
Clongriffin,Dun Laoghaire (Mallin),D2,1
Clongriffin,Sandycove and Glasthule,D2,1
Clongriffin,Glenageary,D2,1
Clongriffin,Dalkey,D2,1
Clongriffin,Killiney,D2,1
Clongriffin,Shankill,D2,1
Clongriffin,Bray (Daly),D2,1
Clongriffin,Greystones,D90,2
Clongriffin,Kilcoole,D90,2
Clongriffin,Wicklow,D91,3
Clongriffin,Rathdrum,D92,4
Clongriffin,Docklands,D2,1
Clongriffin,Drumcondra,D2,1
Clongriffin,Broombridge,D2,1
Clongriffin,Pelletstown,D2,1
Clongriffin,Ashtown,D2,1
Clongriffin,Navan Road Parkway,D2,1
Clongriffin,Castleknock,D2,1
Clongriffin,Coolmine,D2,1
Clongriffin,Clonsilla,D2,1
Clongriffin,Hansfield,D2,1
Clongriffin,Dunboyne,D2,1
Clongriffin,M3 Parkway,D2,1
Clongriffin,Leixlip(Confey),D2,1
Clongriffin,Leixlip(Louisa Bridge),D2,1
Clongriffin,Maynooth,D2,1
Clongriffin,Kilcock,D90,2
Clongriffin,Enfield,D91,3
Clongriffin,Dublin Heuston,D2,1
Clongriffin,Park West and Cherry Orchard,D2,1
Clongriffin,Clondalkin Fonthill,D2,1
Clongriffin,Kishoge,D2,1
Clongriffin,Adamstown,D2,1
Clongriffin,Hazelhatch and Celbridge,D2,1
Clongriffin,Sallins and Naas,D90,1
Clongriffin,Newbridge,D91,3
Clongriffin,Kildare,D92,4
Howth,Drogheda (MacBride),D91,3
Howth,Laytown,D91,3
Howth,Gormanston,D90,2
Howth,Balbriggan,D90,2
Howth,Skerries,D90,2
Howth,Rush and Lusk,D2,1
Howth,Donabate,D2,1
Howth,Malahide,D2,1
Howth,Portmarnock,D2,1
Howth,Clongriffin,D2,1
Howth,Sutton,D1,1
Howth,Bayside,D2,1
Howth,Howth Junction and Donaghmede,D2,1
Howth,Kilbarrack,D2,1
Howth,Raheny,D2,1
Howth,Harmonstown,D2,1
Howth,Killester,D2,1
Howth,Clontarf Road,D2,1
Howth,Dublin Connolly,D2,1
Howth,Tara Street,D2,1
Howth,Dublin Pearse,D2,1
Howth,Grand Canal Dock,D2,1
Howth,Lansdowne Road,D2,1
Howth,Sandymount,D2,1
Howth,Sydney Parade,D2,1
Howth,Booterstown,D2,1
Howth,Blackrock,D2,1
Howth,Seapoint,D2,1
Howth,Salthill and Monkstown,D2,2
Howth,Dun Laoghaire (Mallin),D2,1
Howth,Sandycove and Glasthule,D2,1
Howth,Glenageary,D2,1
Howth,Dalkey,D2,1
Howth,Killiney,D2,1
Howth,Shankill,D2,1
Howth,Bray (Daly),D2,1
Howth,Greystones,D90,2
Howth,Kilcoole,D90,2
Howth,Wicklow,D91,3
Howth,Rathdrum,D92,4
Howth,Docklands,D2,1
Howth,Drumcondra,D2,1
Howth,Broombridge,D2,1
Howth,Pelletstown,D2,1
Howth,Ashtown,D2,1
Howth,Navan Road Parkway,D2,1
Howth,Castleknock,D2,1
Howth,Coolmine,D2,1
Howth,Clonsilla,D2,1
Howth,Hansfield,D2,1
Howth,Dunboyne,D2,1
Howth,M3 Parkway,D2,1
Howth,Leixlip(Confey),D2,1
Howth,Leixlip(Louisa Bridge),D2,1
Howth,Maynooth,D2,1
Howth,Kilcock,D90,2
Howth,Enfield,D91,3
Howth,Dublin Heuston,D2,1
Howth,Park West and Cherry Orchard,D2,1
Howth,Clondalkin Fonthill,D2,1
Howth,Kishoge,D2,1
Howth,Adamstown,D2,1
Howth,Hazelhatch and Celbridge,D2,1
Howth,Sallins and Naas,D90,1
Howth,Newbridge,D91,3
Howth,Kildare,D92,4
Sutton,Drogheda (MacBride),D91,3
Sutton,Laytown,D91,3
Sutton,Gormanston,D90,2
Sutton,Balbriggan,D90,2
Sutton,Skerries,D90,2
Sutton,Rush and Lusk,D2,1
Sutton,Donabate,D2,1
Sutton,Malahide,D2,1
Sutton,Portmarnock,D2,1
Sutton,Clongriffin,D2,1
Sutton,Howth,D1,1
Sutton,Bayside,D1,1
