Origin,Destination,Value
Howth Junction and Donaghmede,Drumcondra,D2
Howth Junction and Donaghmede,Broombridge,D2
Howth Junction and Donaghmede,Pelletstown,D2
Howth Junction and Donaghmede,Ashtown,D2
Howth Junction and Donaghmede,Navan Road Parkway,D2
Howth Junction and Donaghmede,Castleknock,D2
Howth Junction and Donaghmede,Coolmine,D2
Howth Junction and Donaghmede,Clonsilla,D2
Howth Junction and Donaghmede,Hansfield,D2
Howth Junction and Donaghmede,Dunboyne,D2
Howth Junction and Donaghmede,M3 Parkway,D2
Howth Junction and Donaghmede,Leixlip(Confey),D2
Howth Junction and Donaghmede,Leixlip(Louisa Bridge),D2
Howth Junction and Donaghmede,Maynooth,D2
Howth Junction and Donaghmede,Kilcock,D90
Howth Junction and Donaghmede,Enfield,D91
Kilbarrack,Drogheda (MacBride),D91
Kilbarrack,Laytown,D91
Kilbarrack,Gormanston,D90
Kilbarrack,Balbriggan,D90
Kilbarrack,Skerries,D90
Kilbarrack,Rush and Lusk,D2
Kilbarrack,Donabate,D2
Kilbarrack,Malahide,D2
Kilbarrack,Portmarnock,D2
Kilbarrack,Clongriffin,D1
Kilbarrack,Howth,D2
Kilbarrack,Sutton,D2
Kilbarrack,Bayside,D1
Kilbarrack,Howth Junction and Donaghmede,D1
Kilbarrack,Raheny,D1
Kilbarrack,Harmonstown,D1
Kilbarrack,Killester,D2
Kilbarrack,Clontarf Road,D2
Kilbarrack,Dublin Connolly,D2
Kilbarrack,Tara Street,D2
Kilbarrack,Dublin Pearse,D2
